id;national_identity_number;id_type;date_of_birth;mobile_phone_number;agent_verification_number
1;SAS;Identity;Ergonomic Thailand;"+520868-766";blue
2;Representative;Car;Corporate Soft override;"+69-274959";input Credit Card Account Product
3;quantifying object-oriented withdrawal;Avon driver Refined Fresh Chips;Plastic index;"+6122-250";gold Response
4;Bedfordshire maroon extend;models object-oriented Greenland;Extended convergence Rustic;"+11-768546";bleeding-edge target Incredible
5;Assurance Rue Borders;Corporate Avon;Assurance Shoes;"+13063-714";Buckinghamshire invoice Toys
6;Soft;Jewelery;Tools;"+67775-8213";experiences Technician haptic
7;Maine Sausages synthesize;hardware;generating Fresh Ports;"+00-0";generating
8;seamless matrix indexing;connect Small Fresh Gloves maximized;transparent;"+749437-18710";Bedfordshire
9;aggregate;Fantastic;Pennsylvania copying Diverse;"+0221-534";ivory indigo
10;Denar withdrawal magenta;intangible;Tunisia panel Global;"+667032-308159";Research copy
